代码,名称,总市值_亿
603226,菲林格尔,172.06
603228,景旺电子,772.63
603233,大参林,187.91
603235,天新药业,105.94
603236,移远通信,196.5
603256,宏和科技,1778.37
603259,药明康德,2512.85
603260,合盛硅业,450.07
603267,鸿远电子,160.05
603268,松发股份,320.49
603281,江瀚新材,131.79
603283,赛腾股份,171.33
603288,海天味业,1997.37
603290,斯达半导,308.2
603296,华勤技术,607
603297,永新光学,145.03
603298,杭叉集团,333.74
603300,海南华铁,111.3
603301,振德医疗,220.31
603303,得邦照明,137.26
603305,旭升集团,173.01
603306,华懋科技,360.73
603308,应流股份,439.14
603317,天味食品,157.68
603319,美湖股份,122.81
603327,福蓉科技,106.43
603328,依顿电子,126.1
603337,杰克科技,188.78
603338,浙江鼎力,258.9
603345,安井食品,292.27
603355,莱克电气,157.11
603358,华达科技,177.47
603360,百傲化学,151.48
603369,今世缘,377.78
603379,三美股份,351.09
603392,万泰生物,438.24
603393,新天然气,112.53
603444,吉比特,239.14
603456,九洲药业,112.43
603486,科沃斯,336.67
603501,豪威集团,1150.06
603505,金石资源,153.6
603515,欧普照明,141.96
603516,淳中科技,227.68
603529,爱玛科技,182.65
603530,神马电力,245.79
603533,掌阅科技,105.51
603538,美诺华,107.54
603556,海兴电力,130.76
603565,中谷物流,218.41
603568,伟明环保,308.7
603588,高能环境,187.51
603589,口子窖,133.2
603596,伯特利,288.05
603599,广信股份,101.86
603601,再升科技,241.95
603605,珀莱雅,244.75
603606,东方电缆,368.69
603612,索通发展,103.61
603613,国联股份,169.33
603618,杭电股份,295.29
603619,中曼石油,119.98
603626,科森科技,133.17
603629,利通电子,621.16
603638,艾迪精密,181.93
603650,彤程新材,323.7
603658,安图生物,191.54
603659,璞泰来,654.38
603662,柯力传感,170.04
603663,三祥新材,248.91
603667,五洲新春,262.79
603678,火炬电子,230.36
603688,石英股份,364.12
603693,江苏新能,158.42
603698,航天工程,174.73
603699,纽威股份,435.55
603707,健友股份,130.54
603712,七一二,113.48
